日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,600745,42.21,41.31,42.21,41.31,116448,484887751.0,2.13,-2.09,-0.88,0.94
2024-01-03,600745,41.04,40.68,41.26,40.3,125634,512999598.0,2.32,-1.53,-0.63,1.01
2024-01-04,600745,40.69,40.4,40.87,40.08,109796,445508474.0,1.94,-0.69,-0.28,0.88
2024-01-05,600745,40.32,39.37,40.95,38.99,162867,650707131.0,4.85,-2.55,-1.03,1.31
2024-01-08,600745,39.2,38.58,39.53,38.57,114699,447230136.0,2.44,-2.01,-0.79,0.92
2024-01-09,600745,38.89,38.73,39.3,38.37,98150,382415069.0,2.41,0.39,0.15,0.79
2024-01-10,600745,38.48,38.13,38.88,37.71,116345,446060269.0,3.02,-1.55,-0.6,0.94
2024-01-11,600745,38.08,38.84,38.97,37.98,113500,438915899.0,2.6,1.86,0.71,0.91
2024-01-12,600745,38.59,37.26,38.59,37.23,226245,855099509.0,3.5,-4.07,-1.58,1.82
2024-01-15,600745,36.98,37.49,38.13,36.83,154312,582222382.0,3.49,0.62,0.23,1.24
2024-01-16,600745,37.19,37.7,37.8,37.1,114325,429374490.0,1.87,0.56,0.21,0.92
2024-01-17,600745,37.56,36.8,37.68,36.8,86682,323715858.0,2.33,-2.39,-0.9,0.7
2024-01-18,600745,36.34,37.37,37.47,36.08,159793,586617900.0,3.78,1.55,0.57,1.29
2024-01-19,600745,37.13,36.75,37.53,36.58,122703,455862525.0,2.54,-1.66,-0.62,0.99
2024-01-22,600745,36.75,35.68,36.97,35.4,147345,537288381.0,4.27,-2.91,-1.07,1.19
2024-01-23,600745,35.51,36.14,36.35,35.11,128062,461615427.0,3.48,1.29,0.46,1.03
2024-01-24,600745,36.34,36.03,36.38,34.56,179000,635816308.0,5.04,-0.3,-0.11,1.44
2024-01-25,600745,35.7,37.02,37.05,35.46,169749,621520433.0,4.41,2.75,0.99,1.37
2024-01-26,600745,36.61,36.13,36.9,36.09,136183,498009305.0,2.19,-2.4,-0.89,1.1
2024-01-29,600745,36.68,35.87,38.22,35.84,223974,831237284.0,6.59,-0.72,-0.26,1.8
2024-01-30,600745,35.3,34.49,35.97,34.49,136515,481991393.0,4.13,-3.85,-1.38,1.1
2024-01-31,600745,34.25,33.33,34.69,33.22,174394,591044413.0,4.26,-3.36,-1.16,1.4
2024-02-01,600745,32.93,33.14,34.03,32.61,152743,510451583.0,4.26,-0.57,-0.19,1.23
2024-02-02,600745,33.15,31.39,33.6,30.18,234884,751189505.0,10.32,-5.28,-1.75,1.89
2024-02-05,600745,31.48,30.08,31.52,29.08,260651,793780866.0,7.77,-4.17,-1.31,2.1
2024-02-06,600745,30.07,32.31,32.37,29.63,219145,689544475.0,9.11,7.41,2.23,1.76
2024-02-07,600745,32.31,32.87,33.4,32.07,214906,709139576.0,4.12,1.73,0.56,1.73
2024-02-08,600745,33.22,34.49,34.81,32.89,237945,810488494.0,5.84,4.93,1.62,1.91
2024-02-19,600745,34.73,34.83,35.33,34.15,215767,752116901.0,3.42,0.99,0.34,1.74
2024-02-20,600745,34.73,34.72,35.11,33.93,154800,534051772.0,3.39,-0.32,-0.11,1.25
2024-02-21,600745,34.32,35.08,35.88,34.13,202628,715390684.0,5.04,1.04,0.36,1.63
2024-02-22,600745,34.96,35.78,35.88,34.89,154716,552726668.0,2.82,2.0,0.7,1.24
2024-02-23,600745,36.04,36.28,36.36,35.66,154801,559601947.0,1.96,1.4,0.5,1.25
2024-02-26,600745,36.26,35.99,36.82,35.91,164923,600685902.0,2.51,-0.8,-0.29,1.33
2024-02-27,600745,35.88,37.71,37.73,35.68,246206,912920032.0,5.7,4.78,1.72,1.98
2024-02-28,600745,37.78,36.08,38.58,36.08,286045,1075107712.0,6.63,-4.32,-1.63,2.3
2024-02-29,600745,35.88,38.03,38.07,35.78,267605,1003894771.0,6.35,5.4,1.95,2.15
2024-03-01,600745,38.38,40.8,41.54,38.06,520609,2085952166.0,9.15,7.28,2.77,4.19
2024-03-04,600745,42.56,41.94,43.02,41.27,584870,2471785716.0,4.29,2.79,1.14,4.71
2024-03-05,600745,41.41,40.8,42.26,40.48,407535,1688388014.0,4.24,-2.72,-1.14,3.28
2024-03-06,600745,40.33,40.91,41.5,39.71,345397,1403208398.0,4.39,0.27,0.11,2.78
2024-03-07,600745,40.68,39.3,41.33,39.27,279360,1125469227.0,5.04,-3.94,-1.61,2.25
2024-03-08,600745,39.47,40.14,40.24,39.18,228902,913768220.0,2.7,2.14,0.84,1.84
2024-03-11,600745,39.38,40.17,40.3,39.03,214476,855177952.0,3.16,0.07,0.03,1.73
2024-03-12,600745,40.18,40.43,41.22,40.08,220185,896258429.0,2.84,0.65,0.26,1.77
2024-03-13,600745,40.46,40.18,41.0,40.18,217170,884817839.0,2.03,-0.62,-0.25,1.75
2024-03-14,600745,39.79,39.47,40.03,39.02,208049,825485478.0,2.51,-1.77,-0.71,1.67
2024-03-15,600745,39.23,39.54,39.66,38.82,129156,508537727.0,2.13,0.18,0.07,1.04
2024-03-18,600745,38.78,39.77,39.86,38.41,312956,1227157778.0,3.67,0.58,0.23,2.52
2024-03-19,600745,39.77,39.28,40.13,39.28,192679,766679382.0,2.14,-1.23,-0.49,1.55
2024-03-20,600745,39.29,39.16,39.58,38.69,154219,604717653.0,2.27,-0.31,-0.12,1.24
2024-03-21,600745,39.3,39.05,39.81,38.83,170852,673824550.0,2.5,-0.28,-0.11,1.37
2024-03-22,600745,38.83,38.05,39.22,38.02,176478,679965830.0,3.07,-2.56,-1.0,1.42
2024-03-25,600745,37.89,37.03,38.02,36.96,156440,588606264.0,2.79,-2.68,-1.02,1.26
2024-03-26,600745,36.99,36.88,37.39,36.31,140436,519247227.0,2.92,-0.41,-0.15,1.13
2024-03-27,600745,36.98,35.26,36.99,35.24,154048,555574492.0,4.75,-4.39,-1.62,1.24
2024-03-28,600745,35.25,36.47,37.16,35.11,190485,694943914.0,5.81,3.43,1.21,1.53
2024-03-29,600745,36.38,36.48,36.63,35.91,95114,346012341.0,1.97,0.03,0.01,0.77
2024-04-01,600745,36.48,37.28,37.34,36.48,127269,473736041.0,2.36,2.19,0.8,1.02
2024-04-02,600745,37.23,36.88,37.24,36.6,94664,350062030.0,1.72,-1.07,-0.4,0.76
2024-04-03,600745,36.89,36.38,37.24,36.18,116251,426834431.0,2.87,-1.36,-0.5,0.94
2024-04-08,600745,36.08,35.28,36.28,35.28,106055,379780822.0,2.75,-3.02,-1.1,0.85
2024-04-09,600745,35.46,35.86,35.87,35.23,90510,322852157.0,1.81,1.64,0.58,0.73
2024-04-10,600745,35.62,34.56,35.76,34.31,131679,459402259.0,4.04,-3.63,-1.3,1.06
2024-04-11,600745,34.33,34.38,35.23,34.22,115050,399669126.0,2.92,-0.52,-0.18,0.93
2024-04-12,600745,34.41,34.63,35.37,34.41,128748,450214438.0,2.79,0.73,0.25,1.04
2024-04-15,600745,34.54,34.93,35.38,34.54,155737,546604451.0,2.43,0.87,0.3,1.25
2024-04-16,600745,34.78,33.71,34.87,33.71,150662,515265425.0,3.32,-3.49,-1.22,1.21
2024-04-17,600745,33.95,35.11,35.13,33.94,145773,507224556.0,3.53,4.15,1.4,1.17
2024-04-18,600745,34.88,35.25,35.75,34.54,143939,509821742.0,3.45,0.4,0.14,1.16
2024-04-19,600745,34.9,34.21,35.03,33.96,129360,446645318.0,3.04,-2.95,-1.04,1.04
2024-04-22,600745,33.87,34.96,34.96,32.96,141170,484421734.0,5.85,2.19,0.75,1.14
2024-04-23,600745,31.45,31.45,32.21,31.45,253505,803791688.0,2.17,-10.04,-3.51,2.04
2024-04-24,600745,30.82,30.37,30.82,29.68,366456,1109589929.0,3.62,-3.43,-1.08,2.95
2024-04-25,600745,30.06,30.26,30.82,29.97,193679,591633411.0,2.8,-0.36,-0.11,1.56
2024-04-26,600745,30.27,30.92,31.2,30.14,229250,708564102.0,3.5,2.18,0.66,1.84
2024-04-29,600745,30.73,31.96,32.05,30.73,202059,643031053.0,4.27,3.36,1.04,1.63
2024-04-30,600745,31.95,31.38,32.11,31.11,163041,515054858.0,3.13,-1.81,-0.58,1.31
2024-05-06,600745,31.98,32.25,32.57,31.98,170983,554141186.0,1.88,2.77,0.87,1.38
2024-05-07,600745,32.27,32.32,32.45,32.0,110210,356993098.0,1.4,0.22,0.07,0.89
2024-05-08,600745,32.25,31.8,32.38,31.65,103443,331216641.0,2.26,-1.61,-0.52,0.83
2024-05-09,600745,31.87,32.67,32.82,31.8,153942,501458142.0,3.21,2.74,0.87,1.24
2024-05-10,600745,32.79,32.21,32.86,32.01,108228,350272331.0,2.6,-1.41,-0.46,0.87
2024-05-13,600745,31.86,31.62,32.18,31.49,102370,326454745.0,2.14,-1.83,-0.59,0.82
2024-05-14,600745,31.64,31.43,32.24,31.32,118290,375217965.0,2.91,-0.6,-0.19,0.95
2024-05-15,600745,31.29,30.93,31.43,30.88,102491,319539163.0,1.75,-1.59,-0.5,0.82
2024-05-16,600745,31.1,31.04,31.43,30.85,105938,331661028.0,1.88,0.36,0.11,0.85
2024-05-17,600745,30.99,31.43,31.43,30.8,93606,292620782.0,2.03,1.26,0.39,0.75
2024-05-20,600745,31.29,30.83,31.65,30.62,180473,562180435.0,3.28,-1.91,-0.6,1.45
2024-05-21,600745,30.73,30.39,30.9,30.33,111015,340443268.0,1.85,-1.43,-0.44,0.89
2024-05-22,600745,30.46,31.05,31.08,30.22,147192,454038664.0,2.83,2.17,0.66,1.18
2024-05-23,600745,31.05,30.33,31.05,30.23,132897,406979840.0,2.64,-2.32,-0.72,1.07
2024-05-24,600745,30.18,29.51,30.54,29.48,145112,435830848.0,3.49,-2.7,-0.82,1.17
2024-05-27,600745,29.63,29.88,29.88,28.81,154501,454963525.0,3.63,1.25,0.37,1.24
2024-05-28,600745,29.9,29.96,30.85,29.64,188014,571592906.0,4.05,0.27,0.08,1.51
2024-05-29,600745,29.88,29.82,30.25,29.64,115915,348560861.0,2.04,-0.47,-0.14,0.93
2024-05-30,600745,29.73,30.49,31.18,29.3,191172,581478971.0,6.3,2.25,0.67,1.54
2024-05-31,600745,30.54,30.4,31.03,30.33,170768,525522141.0,2.3,-0.3,-0.09,1.37
2024-06-03,600745,30.39,30.0,30.65,29.73,160837,487125165.0,3.03,-1.32,-0.4,1.29
2024-06-04,600745,29.99,29.89,29.99,29.33,122856,365340984.0,2.2,-0.37,-0.11,0.99
2024-06-05,600745,29.86,29.68,30.47,29.63,143822,434452959.0,2.81,-0.7,-0.21,1.16
2024-06-06,600745,29.73,29.14,30.6,29.03,179596,534094120.0,5.29,-1.82,-0.54,1.45
2024-06-07,600745,29.29,28.97,29.65,28.7,140332,410374771.0,3.26,-0.58,-0.17,1.13
2024-06-11,600745,28.89,29.73,29.76,28.36,163608,479440632.0,4.83,2.62,0.76,1.32
2024-06-12,600745,29.92,29.83,30.38,29.79,165833,499801628.0,1.98,0.34,0.1,1.33
2024-06-13,600745,29.86,30.04,30.44,29.58,202030,610375947.0,2.88,0.7,0.21,1.63
2024-06-14,600745,29.91,29.84,29.94,29.43,145807,434418646.0,1.7,-0.67,-0.2,1.17
2024-06-17,600745,29.67,31.46,32.03,29.56,387560,1202869889.0,8.28,5.43,1.62,3.12
